Driver,Lap,PitLapTime,NormalLapTime,EstimatedLoss_sec
VER,20.0,0 days 00:01:30.849000,0 days 00:01:26.050000,4.8
GAS,10.0,0 days 00:01:32.034000,0 days 00:01:27.199500,4.83
GAS,31.0,0 days 00:01:32.204000,0 days 00:01:27.199500,5.0
PER,21.0,0 days 00:01:30.934000,0 days 00:01:26.354000,4.58
ALO,21.0,0 days 00:01:32.377000,0 days 00:01:26.929000,5.45
LEC,20.0,0 days 00:01:31.155000,0 days 00:01:26.473000,4.68
STR,20.0,0 days 00:01:33.026000,0 days 00:01:27.351000,5.67
SAR,14.0,0 days 00:01:33.074000,0 days 00:01:27.328000,5.75
MAG,12.0,0 days 00:01:33.273000,0 days 00:01:27.401000,5.87
MAG,33.0,0 days 00:01:33.158000,0 days 00:01:27.401000,5.76
ALB,15.0,0 days 00:01:32.301000,0 days 00:01:26.898000,5.4
ZHO,11.0,0 days 00:01:32.187000,0 days 00:01:27.158500,5.03
ZHO,33.0,0 days 00:01:32.052000,0 days 00:01:27.158500,4.89
HUL,14.0,0 days 00:01:32.658000,0 days 00:01:27.303000,5.36
HUL,39.0,0 days 00:01:32.506000,0 days 00:01:27.303000,5.2
OCO,24.0,0 days 00:01:33.499000,0 days 00:01:27.594500,5.9
OCO,39.0,0 days 00:01:46.604000,0 days 00:01:27.594500,19.01
NOR,22.0,0 days 00:01:31.647000,0 days 00:01:27.017000,4.63
LAW,13.0,0 days 00:01:32.053000,0 days 00:01:27.098500,4.95
LAW,33.0,0 days 00:01:31.843000,0 days 00:01:27.098500,4.74
HAM,27.0,0 days 00:01:33.228000,0 days 00:01:26.995000,6.23
SAI,19.0,0 days 00:01:31.912000,0 days 00:01:26.358000,5.55
RUS,19.0,0 days 00:01:31.885000,0 days 00:01:26.426000,5.46
BOT,25.0,0 days 00:01:32.814000,0 days 00:01:27.215000,5.6
PIA,23.0,0 days 00:01:31.866000,0 days 00:01:26.862000,5.0
PIA,41.0,0 days 00:01:34.520000,0 days 00:01:26.862000,7.66
